title,field_summary,grant_is_ongoing,grant_audience,url,status,subtype,grant_amount,grant_amount_min,grant_amount_max,grant_fund,grant_date_range,grant_amount_text
['Greyhound Racing Capital Grants Program'],['These conditional capital grants assist Greyhound Racing NSW and its clubs upgrade greyhound race track facilities to make them safer for greyhounds.'],[True],['Business'],['/grants-and-funding/greyhound-racing-capital-grants-program'],[True],['grant'],['up-to'],,[30000000],,[{'startDate': '01/07/2017'}],"['The grant amount for each project is guided by the Greyhound Racing NSW Track Safety and Welfare Strategy, which lists infrastructure projects planned to improve track safety. Note: The grants program is subject to an annual Budget process.']"
['Toll Relief - rebate'],"['Starting from the 2022-23 financial year, eligible motorists who spend more than $375 a year on tolls, will receive a 40% rebate. They can claim once a quarter, up to $750 for the financial year.']",[True],['Individual'],['/grants-and-funding/toll-relief-rebate'],[True],['grant'],['up-to'],,[750],,[{'startDate': '07/06/2022'}],
['Community Benefit Payments '],['Community Benefit Payments fund not-for-profits and registered charities to support the local community when a local venue is approved by the Independent Liquor and Gaming Authority to operate more gaming machines.'],[True],['Not-for-profit'],['/grants-and-funding/community-benefit-payments'],[True],['grant'],['from'],[1],,,[{'startDate': '28/05/2024'}],['Funding amounts vary']
['Arts North West CASP 2025'],"['Arts North West is offering grants under the Country Arts Support Program of up to $3,000 for arts community groups and arts organisations in the New England North West to support their creative endeavour.']",[False],"['Local Government', 'Not-for-profit']",['/grants-and-funding/arts-north-west-casp-2025'],[True],['grant'],['range'],[100],[3000],['Arts and Cultural Funding Program'],"[{'startDate': '14/07/2025', 'endDate': '25/08/2025'}]","['Grants of up to $3,000.00']"
['Preschools on non-government school sites program'],"['This grant program provides funding to build new or upgrade existing preschools on at least 50 non-government school sites, at both independent and Catholic schools in NSW.']",[False],['Not-for-profit'],['/grants-and-funding/preschools-on-non-government-school-sites-program'],[True],['grant'],['up-to'],,[4000000],,"[{'startDate': '01/01/2025', 'endDate': '31/03/2025'}, {'startDate': '19/08/2025', 'endDate': '26/08/2025'}, {'startDate': '30/05/2025', 'endDate': '30/09/2025'}, {'startDate': '28/11/2025', 'endDate': '31/03/2026'}, {'startDate': '29/05/2026', 'endDate': '30/09/2026'}]",
['2025/26 Country Passenger Transport Infrastructure Grants scheme (CPTIGS)'],['This scheme provides subsidies to support the construction or upgrade of bus stop infrastructure. This represents the financial contribution towards improving accessibility and quality of kerbside passenger transport infrastructure in regional areas.'],[False],['Local Government'],['/grants-and-funding/2025/26-country-passenger-transport-infrastructure-grants-scheme-cptigs'],[True],['grant'],['range'],[750],[100000],,"[{'startDate': '01/07/2025', 'endDate': '31/08/2025'}]","[""Please view the Notional Funding Allocation per region, which covers all LGA's in that region""]"
['16 Days of activism 2025'],"['The NSW Government is supporting the prevention of Domestic, Family, and Sexual Violence (DFSV) at the local level through annual grants to communities across the state.']",[False],"['Local Government', 'Not-for-profit']",['/grants-and-funding/16-days-of-activism-2025'],[True],['grant'],['range'],[2500],[5000],,"[{'startDate': '06/08/2025', 'endDate': '03/09/2025'}]",
['Cervical Screening Integration Grants'],['The purpose of these grants is to support eligible organisations to design and deliver tailored initiatives that increase access to and uptake of cervical screening among priority populations.'],[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/cervical-screening-integration-grants'],[True],['grant'],['up-to'],,[120000],['Cancer Institute NSW Grants'],"[{'startDate': '04/08/2025', 'endDate': '08/09/2025'}]",
['First Nations Screen Fellowship 2025'],['The First Nations Screen Fellowship provides mid-career to established First Nations screen practitioners a dynamic range of funding and support across a 12-month period.'],[False],"['Business', 'Individual']",['/grants-and-funding/first-nations-screen-fellowship-2025'],[True],['grant'],['single-figure'],,,,"[{'startDate': '04/08/2025', 'endDate': '11/09/2025'}]","['$25,000 of funding and support']"
"['Round 11 NSW Community Road Safety Grant - $5,000 to $30,000']","['This program will provide funds for community groups and registered charities across NSW to develop small-scale, local projects to increase road safety awareness in local communities and promote safer behaviours on our roads.']",[False],['Not-for-profit'],['/grants-and-funding/round-11-nsw-community-road-safety-grant-5000-to-30000'],[True],['grant'],['range'],[1000],[30000],,"[{'startDate': '04/08/2025', 'endDate': '15/09/2025'}]",
['Stronger Together Project Grants 2026'],"['The Multicultural NSW Stronger Together Grants Program supports projects across NSW, investing in activities that foster community harmony and celebrate cultural diversity as part of our identity and way of life.']",[False],['Not-for-profit'],['/grants-and-funding/stronger-together-project-grants-2026'],[True],['grant'],['range'],[20000],[50000],,"[{'startDate': '18/08/2025', 'endDate': '15/09/2025'}]",
['Short to Feature Fast Track Initiative 2025'],"['The Short to Feature Fast Track Initiative combines funding for the production of a short film or proof of concept, as well as script development funds for a low budget feature film.']",[False],"['Business', 'Individual']",['/grants-and-funding/short-to-feature-fast-track-initiative-2025'],[True],['grant'],['up-to'],,[75000],,"[{'startDate': '07/08/2025', 'endDate': '15/09/2025'}]","['Total funding of $75k, comprising: Up to $45,000 for production or up to $30,000 for post-production for short/proof of concept; and up to $30,000 for feature film development']"
['RNA Pipeline Grants 2025'],"['The RNA Pipeline Grants (RPG) is a $6M, single round, competitive technology development and commercialisation program supporting RNA therapeutics, vaccines, and tech development.']",[False],['Business'],['/grants-and-funding/rna-pipeline-grants-2025'],[True],['grant'],['range'],[200000],[3000000],,"[{'startDate': '22/07/2025', 'endDate': '16/09/2025'}]",
['Bert Evans Apprentice Scholarship 2025'],"['The Bert Evans Apprentice Scholarships aims to assist NSW apprentices, who are experiencing financial hardship, in successfully completing their trade training.']",[False],['Individual'],['/grants-and-funding/bert-evans-apprentice-scholarship-2025'],[True],['grant'],['range'],[5000],[15000],,"[{'startDate': '01/08/2025', 'endDate': '20/09/2025'}]","['Grant recipients may receive up to $15,000 over three years']"
['\u200b\u200bLive Performance Venue Grant Program Round 2\u200b'],"['The Live Performance Venue Grant supports hospitality venues to host live performances, with funding for sound or staging equipment, programming, marketing, and other delivery costs']",[False],['Business'],['/grants-and-funding/%e2%80%8b%e2%80%8blive-performance-venue-grant-program-round-2%e2%80%8b'],[True],['grant'],['range'],[15000],[80000],,"[{'startDate': '14/08/2025', 'endDate': '23/09/2025'}]",
['Conference Sponsorship Program - Round 19 2026'],"['The Conference Sponsorship Program aims to encourage groups to meet in NSW to exchange ideas, knowledge and expertise, making a significant contribution for NSW.']",[False],"['Business', 'Not-for-profit']",['/grants-and-funding/conference-sponsorship-program-round-19-2026'],[True],['grant'],['up-to'],,[10000],,"[{'startDate': '01/08/2025', 'endDate': '26/09/2025'}]",
['Greening our City Grant 2025'],"['This grant round will help councils deliver urban tree canopy, biodiverse understorey plantings and support urban greening in areas of low canopy and high urban heat that are targeted for housing growth, particularly low and mid-rise housing areas.']",[False],['Local Government'],['/grants-and-funding/greening-our-city-grant-2025'],[True],['grant'],['range'],[50000],[10000000],,"[{'startDate': '04/08/2025', 'endDate': '26/09/2025'}]",
['Boating Infrastructure Maintenance'],"['This program provides grant funding to councils and other organisations to maintain public boating infrastructure and facilities that directly support boaters, and promote safe, accessible, and enjoyable boating experience.']",[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/boating-infrastructure-maintenance'],[True],['grant'],['range'],[1000],[100000],,"[{'startDate': '15/08/2025', 'endDate': '26/09/2025'}]","['Up to $50,000 can be provided for repair and/or maintenance works per asset with up to a maximum of $100,000 per applicant']"
['Living Carbon Grants - The North Coast LLS region'],"['If you are a landholder in NSW, you may be eligible for a NSW Government grant to start a carbon planting project. This could help you secure the health of your land, unlock new income streams, and revegetate habitats for threatened species.']",[False],"['Business', 'Individual', 'Not-for-profit']",['/grants-and-funding/living-carbon-grants-north-coast-lls-region'],[True],['grant'],['up-to'],,[200000],,"[{'startDate': '07/08/2024', 'endDate': '30/09/2025'}]",
['Living Carbon Grants - The MidCoast LGA region'],"['If you are a landholder in NSW, you may be eligible for a NSW Government grant to start your carbon planting project. This could help you secure the health of your land, unlock new income streams, and revegetate habitats for threatened species.']",[False],"['Business', 'Individual', 'Not-for-profit']",['/grants-and-funding/living-carbon-grants-midcoast-lga-region'],[True],['grant'],['up-to'],,[200000],,"[{'startDate': '16/04/2024', 'endDate': '30/09/2025'}]",
['Illegal Dumping Prevention Grant Round 3 - Stream 3'],['Illegal Dumping Prevention Grants (Round 3 Stream 3) is for major illegal dumping projects (bushland or kerbside) for local and state government.'],[False],['Local Government'],['/grants-and-funding/illegal-dumping-prevention-grant-round-3-stream-3'],[True],['grant'],['up-to'],,[120000],['Waste and Sustainable Materials Strategy'],"[{'startDate': '05/08/2025', 'endDate': '30/09/2025'}]",
['Living Carbon Grants - The Riverina LLS region'],"['If you are a landholder in NSW, you may be eligible for a NSW Government grant to start your carbon planting project. This could help you secure the health of your land, unlock new income streams, and revegetate habitats for threatened species.']",[False],"['Business', 'Individual', 'Not-for-profit']",['/grants-and-funding/living-carbon-grants-riverina-lls-region'],[True],['grant'],['up-to'],,[200000],,"[{'startDate': '16/04/2024', 'endDate': '30/09/2025'}]",
['Illegal Dumping Prevention Grant Round 3 - Stream 4'],['Illegal Dumping Prevention Grants (Round 3 Stream 4) supports collaborative projects addressing illegal dumping across multiple land tenures.'],[False],['Local Government'],['/grants-and-funding/illegal-dumping-prevention-grant-round-3-stream-4'],[True],['grant'],['up-to'],,[200000],['Waste and Sustainable Materials Strategy'],"[{'startDate': '05/08/2025', 'endDate': '30/09/2025'}]",
['2025/2026 Round 1 Elsa Dixon Aboriginal Employment Grant '],['Elsa Dixon Aboriginal Employment Grant (EDAEG) is a NSW Government Initiative that utilises a number of strategies to develop and support Aboriginal people through the creation of training and employment opportunities.'],[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/2025/2026-round-1-elsa-dixon-aboriginal-employment-grant'],[True],['grant'],['range'],[1],[40000],,"[{'startDate': '30/06/2025', 'endDate': '01/10/2025'}]",
['Heat Pump Feasibility Grant'],"['Heat Pump Feasibility Grant helps eligible NSW businesses to assess whether a heat pump is a feasible option for their site. You can apply for up to $30,000 to cover 75% of the project costs.']",[False],['Business'],['/grants-and-funding/heat-pump-feasibility-grant'],[True],['grant'],['up-to'],,[30000],['Net Zero'],"[{'startDate': '14/07/2025', 'endDate': '13/10/2025'}]","['up to $30,000']"
['Community Living Supports (CLS) 2026'],['The Community Living Supports (CLS) Open Grant Opportunity is for community managed organisations and/or Aboriginal Community Controlled Health Organisations who would like to apply to deliver the CLS program from 1 July 2026.'],[False],['Not-for-profit'],['/grants-and-funding/community-living-supports-cls-2026'],[True],['grant'],['single-figure'],,,,"[{'startDate': '22/08/2025', 'endDate': '17/10/2025'}]",
['High Pedestrian Activity Area Sub-Program'],['This funding supports the delivery of infrastructure and reduced speed zones in areas with high pedestrian activity.'],[False],['Local Government'],['/grants-and-funding/hpaa'],[True],['grant'],['up-to'],,[20000000],,"[{'startDate': '20/08/2025', 'endDate': '31/10/2025'}]",
['Illegal Dumping Prevention Grant Round 3 - Stream 2'],['Illegal Dumping Prevention Grants (Round 3 Stream 2) is an introductory grant for entities with limited experience in running illegal dumping projects.'],[False],['Local Government'],['/grants-and-funding/illegal-dumping-prevention-grant-round-3-stream-2'],[True],['grant'],['up-to'],,[60000],['Waste and Sustainable Materials Strategy'],"[{'startDate': '05/08/2025', 'endDate': '27/11/2025'}]",
['Illegal Dumping Prevention Grant Round 3 - Stream 1'],['Illegal Dumping Prevention Grants - Round 3 Stream 1 - Building an Evidence Base. This stream provides funding for establishing baseline data either for dumping on publicly owned land or for developing an illegal dumping business case.'],[False],['Local Government'],['/grants-and-funding/illegal-dumping-prevention-grant-round-3-stream-1'],[True],['grant'],['up-to'],,[20000],['Waste and Sustainable Materials Strategy'],"[{'startDate': '05/08/2025', 'endDate': '27/11/2025'}]",
['Touring and Travel Fund 2024/25'],"['This quick response funding program is designed for domestic and international touring and travel activity for NSW contemporary music artists, acts and music industry professionals.']",[False],"['Business', 'Individual']",['/grants-and-funding/touring-and-travel-fund-2024/25'],[True],['grant'],['single-figure'],,,,"[{'startDate': '01/11/2024', 'endDate': '28/11/2025'}]","['Up to $2,500 per person for domestic activity and up to $5,000 per person for international activity']"
['Solar for Apartment Residents (SoAR) Grant Program'],['The Solar for Apartment Residents (SoAR) grant program provides funding to support the installation of solar panels on eligible apartment buildings and other multi-unit dwellings in NSW.'],[False],['Business'],['/grants-and-funding/solar-for-apartment-residents-soar-grant-program'],[True],['grant'],['up-to'],,[150000],,"[{'startDate': '28/02/2025', 'endDate': '01/12/2025'}]","['Up to $150,000 per project']"
['Rural Landholder Grant'],['This grant supports the recovery of eligible rural landholders and aquaculture producers affected by the NSW East Coast Severe Weather from 18 May 2025.'],[False],"['Business', 'Individual']",['/grants-and-funding/rural-landholder-grant'],[True],['grant'],['up-to'],,[10000],,"[{'startDate': '04/06/2025', 'endDate': '04/12/2025'}]",
['Natural Disaster Relief Grant'],['This grant supports the recovery of eligible primary producers and aquaculture producers affected by Tropical Cyclone Alfred Severe Weather from 3 March 2025.'],[False],"['Business', 'Individual']",['/grants-and-funding/natural-disaster-relief-grant'],[True],['grant'],['up-to'],,[25000],,"[{'startDate': '04/06/2025', 'endDate': '04/12/2025'}]",
['Special Disaster Relief Grant'],['This grant supports the recovery of eligible primary producers and aquaculture producers affected by the NSW East Coast Severe Weather from 18 May 2025.'],[False],"['Business', 'Individual']",['/grants-and-funding/special-disaster-relief-grant'],[True],['grant'],['up-to'],,[75000],,"[{'startDate': '04/07/2025', 'endDate': '04/12/2025'}]",
['EV Site Host EOI 2024-2025'],"['The NSW Government is co-funding an EV charging network. We seek landowners and leaseholders interested in hosting stations, to share a list of potential sites to developers (Charge Point Operators).']",[False],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/ev-site-host-eoi-2024-2025'],[True],['grant'],['single-figure'],,,,"[{'startDate': '09/04/2024', 'endDate': '31/12/2025'}]",
['Regional Event Fund - Event Development stream'],['This fund supports mature events that have already received maximum Flagship Event funding and can present a comprehensive strategy for future growth as drivers of tourism.'],[False],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/regional-event-fund-event-development-stream'],[True],['grant'],['up-to'],,[50000],,"[{'startDate': '10/03/2025', 'endDate': '31/12/2025'}]",
['2025 Start Strong for Community Preschools'],['The Start Strong for Community Preschools program provides funding to deliver affordable quality preschool education for 3 to 5 year old children enrolled in eligible community and mobile preschools in NSW.'],[False],"['Local Government', 'Not-for-profit']",['/grants-and-funding/2025-start-strong-for-community-preschools'],[True],['grant'],['single-figure'],,,,"[{'startDate': '01/01/2025', 'endDate': '01/01/2026'}]",['Variable from a total pool of up to approximately $520 million']
['2025 Mobile Preschool Funding program'],"['The Mobile Preschool Funding program provides funding for the provision of preschool education delivered for 3 to 5 year old children enrolled in mobile preschools in regional and remote NSW, where access to centre-based preschools can be limited.']",[False],"['Local Government', 'Not-for-profit']",['/grants-and-funding/2025-mobile-preschool-funding-program'],[True],['grant'],['single-figure'],,,,"[{'startDate': '01/01/2025', 'endDate': '01/01/2026'}]",['Variable from a total pool of up to approximately $20 million']
['2025 Start Strong for Long Day Care'],['The Start Strong for Long Day Care program provides funding to deliver affordable quality preschool education to children aged 3 and above who are enrolled in eligible long day care services in New South Wales.'],[False],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/2025-start-strong-for-long-day-care'],[True],['grant'],['single-figure'],,,,"[{'startDate': '01/01/2025', 'endDate': '01/01/2026'}]",['Funding will be calculated based on enrolment information.']
['WASM Litter Prevention Grants EOI INTAKE 5'],"['The NSW Government has opened the Waste and Sustainable Materials Strategy 2041 (WASM) Litter Prevention Grants Program for councils, community groups and other key stakeholders.']",[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/wasm-litter-prevention-grants-eoi-intake-5'],[True],['grant'],['range'],[5000],[500000],['Litter Prevention Grants'],"[{'startDate': '26/02/2025', 'endDate': '03/03/2026'}]",
['IP in Motion Fund - 2025-26'],"['Screen NSW, through this program, will wholly or partly reimburse, up to $5,000, a screen and digital games producers’ cost to option original intellectual property (IP) from NSW-based creators.']",[False],"['Business', 'Individual']",['/grants-and-funding/ip-motion-fund-2025-26'],[True],['grant'],['up-to'],,[5000],,"[{'startDate': '06/05/2025', 'endDate': '02/04/2026'}]","['Up to $5,000 per application.']"
['Contemporary Music Festival Viability Fund'],['This program supports existing large-scale contemporary music festivals presented in NSW with a track record of delivering significant outcomes for contemporary music.'],[False],['Business'],['/grants-and-funding/contemporary-music-festival-viability-fund-0'],[True],['grant'],['single-figure'],,,,"[{'startDate': '01/05/2025', 'endDate': '30/04/2026'}]","['Up to $500,000']"
['Home Buyer Booster Grant'],"['This grant is open to Aboriginal people who are social housing tenants or private tenants and who have saved up at least $1,000 towards their deposit and are in the process of purchasing a home.']",[False],['Not-for-profit'],['/grants-and-funding/home-buyer-booster-grant'],[True],['grant'],['up-to'],,[2500],['Aboriginal Home Buyer Saver'],"[{'startDate': '01/07/2021', 'endDate': '30/06/2026'}]",
['P&C Transition Grant 25-26'],['The P&C Transition Grant Program is designed to support approved OOSH services that have transitioned to P&C ownership as a result of the recent Provider Category Review.'],[False],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/pc-transition-grant-25-26'],[True],['grant'],['up-to'],,[10000],,"[{'startDate': '08/07/2025', 'endDate': '30/06/2026'}]",
['Coastal and Estuary Planning & Implementation 2025-26'],"['Funding is available under 6 funding streams: a planning stream, 4 implementation streams and one for emergency works identified in certified emergency action sub plans following a declared significant erosion or coastal inundation event.']",[False],['Local Government'],['/grants-and-funding/coastal-and-estuary-planning-implementation-2025-26'],[True],['grant'],['single-figure'],,,,"[{'startDate': '24/07/2025', 'endDate': '30/06/2026'}]",['$2 from government for every $1 provided by the applicant (from council revenue).  Some activities attract 1:1 or 0:1 (100%) funding.']
['Deadly Deposit Grant'],"['This grant is open to Aboriginal people who have saved up at least $1,000 towards their deposit and that are in the process of building or buying their home.']",[False],['Not-for-profit'],['/grants-and-funding/deadly-deposit-grant'],[True],['grant'],['up-to'],,[10000],['Aboriginal Home Buyer Saver'],"[{'startDate': '01/07/2021', 'endDate': '30/06/2026'}]",
['2025-26 International Travel Fund'],"['The International Travel Fund supports NSW screen practitioners for travel related to significant international festivals, markets, awards, industry trade missions and financing projects.']",[False],"['Business', 'Individual']",['/grants-and-funding/2025-26-international-travel-fund'],[True],['grant'],['range'],[1],[6000],,"[{'startDate': '01/07/2025', 'endDate': '30/06/2026'}]","['Up to $5,000 for one Key Creative, or up to $6,000 for two or more Key Creatives per project']"
['2025-26 Development Program'],"['Screen NSW Development funding supports writers, directors and producers to develop fiction or unscripted (documentary) and online projects with distinctive ideas and ambitious stories.']",[False],"['Business', 'Individual']",['/grants-and-funding/2025-26-development-program'],[True],['grant'],['range'],[1],[50000],,"[{'startDate': '01/07/2025', 'endDate': '30/06/2026'}]","['Up to $50,000 depending on the project type and level of market interest']"
