GO ID:,FO Reference:,Primary Category:,Secondary Category:,Addenda Available:,Close Date & Time:,Selection Process:,Publish Date:,Other Instructions:,Estimated Grant Value (AUD):,Location:,Eligibility:,Description:,Grant Activity Timeframe:,Co-sponsored with:,Agency:,Internal Reference ID:,Instructions for Application Submission:,Total Amount Available (AUD):
GO7862,,121003 - Humanities,,View Addenda,26-Sep-2025 11:30 pm (ACT Local Time) Show close time for other time zones,Open Competitive,27-Aug-25,,"From $5,000.00 to $250,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible for funding, applicants must: have an Australian Business Number (ABN) be registered for the purposes of GST be a permanent resident of Australia have an account with an Australian financial institution comply with all regulatory, industry and legal requirements in relation to copyright, licensing, employment, planning and environmental protection. And be one of the following entity types: a company incorporated in Australia a company incorporated by guarantee a sole trader with employees an incorporated trustee on behalf of a trust an incorporated association a partnership an incorporated not-for-profit organisation an Australian local government body an Aboriginal and/or Torres Strait Islander Corporation registered under the Corporations (Aboriginal and /or Torres Strait Islander) Act 2006 We can only accept applications from: organisations that have a primary purpose to host live public performances of original contemporary music, with a strong focus on showcasing Australian artists (Australian local government bodies are exempt from this criterion) organisations with at least three years of demonstrated experience delivering live music organisations that are a majority-Australian owned business You are not eligible to apply if you are: an organisation, or your activity partner is an organisation, included on the National Redress Scheme’s website on the list of ‘Institutions that have not joined or signified their intent to join the Scheme’ ( www.nationalredress.gov.au ) an individual (unless you are a sole trader with employees) an unincorporated association an overseas resident/organisation an organisation that receives income from gambling or gambling related sources an organisation for which delivering original live music is a secondary or ancillary function.","The Australian Government’s National Cultural Policy Revive recognises the importance of the live music sector and is increasing the support for the music industry. The Revive Live program was announced as part of the Government’s Critical Support for the Live Music and Festivals measure in the 2024/25 Federal Budget. The Government provided a further $25 million to extend the program for an additional two years to 30 June 2027. Revive Live will provide essential support to established live music venues and Australian music festivals to assist them to continue to operate in the current operating climate, limiting venue closures and event cancellations, and stimulating long-term sustainability. Revive Live will also have a focus on improving accessibility for disabled artists and patrons. Revive Live will: Increase performance opportunities including the development and discoverability of original contemporary music by Australian artists support a sustainable Australian live music ecosystem, allowing established live music venues to continue operating, and avoiding cancellation of Australian music festivals support stability in live music venues and music festivals, building resilience to change and risk, safety, inclusivity and representative programming improve accessibility at live music venues and music festivals, providing participation opportunities for audiences with disability as well as career pathways for musicians and music workers with disability. Revive Live - Round 2 will run from 1 July 2025 to 30 June 2026, with a total of $11.6 million available in 2025-26. The maximum grant amount is $150,000 for venues and small festivals, and larger festivals with more than 10,000 attendees can receive funding of up to $250,000.",Funding is available for projects commencing from 1 December 2025.,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",,Please read the Revive Live Open Competitive guidelines and click the 'Submit Application' button in the sidebar to apply.,"$11,600,000.00"
GO7765,,321001 - Science,,,29-Sep-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Open Competitive,19-Aug-25,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $2,000.00 to $20,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","You can apply if you: are an individual 18 years of age or older, or have an Australian business number (ABN). You can’t apply if you are: an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012) a non-corporate Commonwealth entity (unless you are a publicly funded research organisation, as defined in section 14 of the grant opportunity guidelines) a trust (however, an incorporated trustee may apply on behalf of a trust). You can partner with one or more other organisations to deliver the project. But you must decide who the lead organisation is. The lead organisation must fill out the application form, be the main driver of the project and eligible to apply. If your application is successful, the lead organisation: signs the grant agreement is responsible for making sure your group follows the rules in the grant agreement identifies all members of the proposed group and provides a letter of support from each project partner (as detailed in Section 7.2 of the grant opportunity guidelines). A template letter of support is located on this page under ‘key documents’ has a formal arrangement in place with all parties prior to execution of the grant agreement.","National Science Week is Australia’s major national celebration of the sciences, occurring in August each year. National Science Week 2026 will be held from 15 to 23 August 2026. National Science Week is run across Australia and provides the opportunity for wide community participation in high profile science engagement activities across the nation. The objectives of the grant opportunity are to: inspire wide community participation in STEM provide an opportunity to acknowledge and celebrate the contributions of Australian scientists to the world of knowledge encourage an interest in science pursuits among the general public encourage younger people to become fascinated by the world we live in encourage new and innovative ways of engaging with audiences. The intended outcomes of the grant opportunity are to: increase national and international interest in Australian science improve critical engagement with key scientific issues by the public increase inspiration drawn from science and improve the value of science as perceived by the public. Up to $500,000 is available for National Science Week Grants 2026. The minimum grant amount is $2,000. The maximum grant amount is $20,000.",,,"Department of Industry, Science and Resources",,"To apply, go to: www.business.gov.au/nsw2026","$500,000.00"
GO6695,,231018 - Public Health Services,,View Addenda,30-Sep-2025 2:00 pm (ACT Local Time) Show close time for other time zones,Closed Non-Competitive,18-Jan-24,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Who is eligible for a grant? To be eligible, you must be one of the listed organisation/s outlined in Table 3: Eligible Organisations and have received an invitation to from the department. The list of eligible organisation/s was determined to be limited to PHNs; this is in keeping with the intent of the General Practice Incentive Fund program as announced in the 2023-24 Budget. PHNs are regional organisations that commission and integrate services at the local level to address identified needs and provide support and system level integration for health services to improve coordination of care for patients. PHNs are individual, not-for-profit organisations that were selected through an open competitive process in 2014-15. Who is not eligible for a grant? You are not eligible to for this grant opportunity if you: have not received an invitation from the department are not listed as an eligible organisation in section 4.1, and are an organisation, or your project partner is an organisation, included on the National Redress Scheme’s website on the list of ‘Institutions that have not joined or signified their intent to join the Scheme’.","The Australian Government has allocated a total of $49.764 million (GST exclusive) from 2023-2027 for the General Practice Incentive Fund (GPIF) program. This comprises: $16.588 million (GST exclusive) in the 2023-24 Budget - Strengthening Medicare Support for Health, Care and Support Services in Thin Markets measure, and $16.588 million (GST exclusive) in the 2024-25 Budget - Boosting Supply of Healthcare in Areas of Shortage measure. $16.588 million (GST exclusive) in the 2024-25 MYEFO – Boosting Supply of Healthcare in Areas of Shortage. $47.064 million (GST exclusive) GPIF funding has been made available for this grant opportunity (the grant opportunity). The grant opportunity will enable PHNs to commission agreed services in communities identified by the department where primary care and related service systems fail, are at imminent risk of failure, or are characterised by ongoing instability. The identification of sites where the grant may be applied will rest with the department and be informed through negotiation with relevant jurisdiction (state or territory government) and PHN, RWA specific to the location) giving consideration to potential risk of sites losing access to services or the sustainability of local service systems. The range of services to be commissioned will be determined through assessment of, and agreement to the Service System Recovery Plan to be developed collaboratively by agreed local stakeholders. To view the grant opportunity documents, please select the red "" Grant Opportunity Documents "" button on the left-hand side. NOTE: Please refer to the most recent version of the Grant Opportunity Guidelines version 4 and to Addendum 5 published on 3 July 2025.",Grant activities must be completed by 30 June 2027.,,"Department of Health, Disability and Ageing",P4778,This is a non-application-based process. The eligible organisation/s does not need to submit an application for this grant opportunity.,"$47,064,000.00"
GO7700,,261001 - Industry Innovation,321003 - Scientific Research,,7-Oct-2025 12:00 pm (ACT Local Time) Show close time for other time zones,Open Competitive,25-Aug-25,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","To be eligible as a lead applicant you must: be an SME have an Australian business number (ABN) be incorporated in Australia and a trading corporation. Your trading activities must be either: enough to be called a trading corporation a major, not minor, part of your overall activity. Project partners must include: 2 Australian industry organisations 1 Australian research organisation.","Cooperative Research Centres Projects (CRC-P) Grants provide funding for short-term research collaborations. Find out how to apply for a CRC-P Grant to develop a new technology, product or service. This grant supports short-term (up to 3 years), industry-led research collaborations. Projects must: develop a product, service or process that will solve problems for industry and deliver real outcomes benefit small to medium enterprises (SMEs). You can use the funding to cover costs directly related to your project including: new research proof of concept activities pre-commercialisation of research outcomes industry-focused education and training activities conferences, workshops, symposia related to the joint research information sharing and communications related to the research. This is not a complete list and other costs may also be eligible.",,,"Department of Industry, Science and Resources",,"To apply, go to: business.gov.au/crc-p",
GO7512,,211010 - Water Resources,,View Addenda,15-Oct-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,10-Feb-25,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $0.00 to $300,000.00","ACT, NSW, VIC, SA, QLD","You can apply if you: have an Australian business number (ABN), unless you are not entitled to one and are one of the following: an entity, incorporated in Australia (this includes Indigenous land management organisations registered with the Office of the Registrar of Indigenous Corporations) a registered Aboriginal and Torres Strait Islander land council an Aboriginal and Torres Strait Islander Corporation registered under the Corporations (Aboriginal and Torres Strait Islander) Act 2006 (Cth) an incorporated not for profit association or cooperative an incorporated trustee on behalf of a trust a partnership. You must also be or be partnering with a consortium with a First Nations group or organisation recognised as a Basin Traditional Owner(s) or able to demonstrate a traditional connection to the relevant area for which you are applying. We can only accept applications where the Traditional Owner status of the applicant or members of the consortium can be verified using one of the methods below: Native title determination (s earch National Native Title Register ) Registered Aboriginal Party ( Victoria's Registered Aboriginal Parties | aboriginalheritagecouncil.vic.gov.au ) Land rights agreements ORIC ( Office of the Registrar of Indigenous Corporations ) Office of the Registrar Aboriginal Land Rights Act 1983 Relevant Local Aboriginal Land Councils New South Wales Aboriginal Land Councils Relevant Elders councils Declaration of Connection to Country. If you are a First Nations group without an ABN, you may submit a joint application with an organisation that is able and agrees to obtain and manage funds on your behalf. The organisation must be a legal entity that is eligible to apply and must be the lead organisation on your joint application. Evidence of the arrangement is required. See grant opportunity guidelines for more information.","The waters of the Murray-Darling Basin are a vital to the connection to culture and country for over 50 First Nations communities. The impacts of colonisation have deeply affected access to water for these communities, First Nations people currently own less than 0.2% of surface water entitlements. The program provides funding directly to Basin First Nations to conduct cultural flows planning, develop sustainable business models and governance structures required to securely hold water. The program will: support Basin First Nations to develop detailed cultural flows plans, quantifying their water needs and aspirations facilitate the development of water-reliant cultural economies in the Basin empower self-determination by Basin First Nations, to make decisions regarding water ownership and management.",,,"Department of Climate Change, Energy, the Environment and Water",,An update on the status of this program will be provided following the outcome of the 2025 Federal election.,"$20,000,000.00"
GO7798,FO2024-2930,111001 - Drought,,View Addenda,22-Oct-2025 9:00 pm (ACT Local Time) Show close time for other time zones,Open Competitive,5-Aug-25,Please use: Future Drought Fund Drought Resilience Innovation Challenges Pilot Program - Questions and Answers - version 2.,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible, the lead applicant of a consortium must be an Australian-based organisation, capable of entering into a legally binding and enforceable agreement with the Commonwealth. This includes the following entity types: Company Cooperative Corporate Commonwealth Entity Corporate State or Territory Entity Non-corporate State or Territory Entity Non-corporate State or Territory Statutory Authority Incorporated Association Indigenous Corporation Local Government Statutory Entity.","The Australian Government is inviting applications in an open competitive process to apply for a grant under the Future Drought Fund Drought Resilience Innovation Challenges Pilot Program. The Innovation Challenges Pilot Program (the Program) poses 3 complex and multi-dimensional cross-regional, industry or system wide challenges imposed by drought and climate impacts, for applicants to respond to with innovative and tailored solutions. The aim of the Program is to help drive and fast-track the availability of existing and emerging high-impact drought resilience approaches, innovative practices, tools and technologies. Farmers, agricultural sectors, regions and farming communities will benefit from accelerated access to high-impact, evidence-based innovation to adapt to drought and climate impacts at scale. The Program is intended to attract innovators and researchers with technologies or practices that have reached applied research stage that have potential to be scaled up and adopted at a cross-regional, industry or system-wide level. It is anticipated that consortiums of innovators, farmers, communities would benefit from accelerated projects to increase the evidence base and speed of development of their innovative solution. It is anticipated that consortiums of commercial partners and innovators, farmers, farming communities, and/or other regional stakeholders may be formed.",Assessment of applications - Within 12 weeks from the closing date Approval of outcomes of selection process - Within 18 weeks from the closing date Notification to applicants - Within 19 weeks from the closing date Negotiations and award of grant agreements - Within 23 weeks from the closing date Earliest start date of grant activity - May 2026 End date of grant activity - 30 June 2028.,,"Department of Agriculture, Fisheries and Forestry",2024-2930,"To apply, you must: complete the online application form on GrantConnect provide all the information requested address all eligibility criteria and assessment criteria include all necessary attachments (see section 7.1 of the Grant Opportunity Guidelines) submit your application/s to the Community Grants Hub by 9:00 pm AEDT on 22 October 2025.",
GO7657,2025 NHMRC-GACD Funding Call,231013 - Medical Research,,,28-Oct-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,3-Apr-25,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",The research activities must take place in one or more LMICs (as defined by the World Bank) and/or in Aboriginal and/or Torres Strait Islander communities in Australia. The Chief Investigator A on the NHMRC application to Sapphire must be named as a Principal or co-Principal Investigator on the application to GACD. Applications will only be accepted from NHMRC approved Administering Institutions. A list of NHMRC approved Administering Institutions is available at: https://www.nhmrc.gov.au/funding/manage-your-funding/nhmrc-funding/administering-institutions Applications must satisfy all the requirements set out in the 2025 NHMRC-GACD Guidelines.,"Together with other Global Alliance for Chronic Diseases (GACD) Associate Members, NHMRC is inviting investigators to submit applications with a focus on implementation research addressing strategies for strengthening of health systems to improve equity in high quality care and health outcomes, and reduce the prevalence and impact of non-communicable diseases, in low- and middle-income countries (LMICs) and/or in underserved populations experiencing health disparities such as Indigenous Populations in high-income countries (HICs). For NHMRC funding support in HICs, research must focus on Australian Aboriginal and/or Torres Strait Islander communities. The objective of the 2025 NHMRC-GACD grant opportunity is to fund implementation research that will generate evidence about strategies to strengthen health systems in LMICs and/or for Aboriginal and/or Torres Strait Islander communities in Australia.",1–5 years,,National Health and Medical Research Council (NHMRC),,"GACD Common Submission Portal applications First stage proposals must be submitted electronically to the GACD Portal. Shortlisted first stage applicants will be invited to electronically submit a second stage proposal to the GACD Portal. Refer to the GACD funding call website for application information, proposal template and submission deadlines. NHMRC Sapphire application Shortlisted first stage proposals applying to NHMRC for support of the Australian components of the research must also electronically submit an application to NHMRC’s Sapphire grants management system unless otherwise advised by NHMRC.","$5,000,000.00"
GO7875,Cellar Door Grant – Round 7,111002 - Business Development,,,31-Oct-2025 4:30 pm (ACT Local Time) Show close time for other time zones,Demand Driven,1-Sep-25,,"From $1.00 to $100,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible for the Wine Tourism and Cellar Door Grant applicants must: a. be a wine or cider producer b. be a legal entity registered for GST and with an active ABN c. have made at least $1,207,000 (GST exclusive) in sales of rebatable wine in the relevant financial year d. accrue rebatable domestic cellar door sales in excess of any such sales used to meet the $1,207,000 (GST exclusive) threshold in the relevant financial year e. have paid the WET on all eligible sales used as part of the application f. have owned or leased a physical cellar door in Australia in the relevant financial year, and/or their related entity/ies have owned or leased a physical cellar door in Australia in the relevant financial year. g. have a liquor licence valid in the relevant financial year.","The Wine Tourism and Cellar Door Grant program has been introduced to support producers who add value by encouraging visitors to wine regions. Wine producers will be able to access an annual grant reflective of their eligible physical cellar door sales. The grant is part of a coordinated suite of measures developed with the Australian wine industry after extensive consultations on reforms to the Wine Equalisation Tax (WET) arrangements. It complements the $50 million Export and Regional Wine Support Package being implemented by Wine Australia from 2016 through to 2020. The suite of measures are the responsibility of the Department of Agriculture and Water Resources. Wine Australia is administering the Wine Tourism and Cellar Door grants, as part of that suite, on behalf of the Commonwealth in accordance with paragraph 2.9.d of the Commonwealth Grants Rules and Guidelines (CGRGs).",,,Wine Australia,,Applications will only be accepted through the Wine Australia online grants portal - https://wau-cp.enquire.cloud/rounds . You will need to pre-register for the portal if this is the first time you are applying.,"$10,000,000.00"
GO7209,,111002 - Business Development,,View Addenda,5-Nov-2025 4:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,11-Oct-24,"Please note: Support Plantation Establishment Round 3 - Batch 5 is now open, due to close 4pm AEST 24 September 2025. Applications not submitted by then will need to be included in Batch 6.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible, you must be one of the following entity types: Company Cooperative Corporate State or Territory Entity Incorporated Association Indigenous Corporation Partnership Sole Trader. We can only accept applications from entities that: have an Australian Business Number (ABN) are permanent residents or citizens of Australia have an account with an Australian financial institution. Please see the Grant Opportunity Guidelines for further details.","The Australian Government is inviting organisations via a Demand Driven (eligibility based) process to deliver services under the Forestry Industry - Support Plantation Establishment Program. The objectives of the program are to: increase future plantation forest resources available for processing, as well as for plantation forest management, harvesting and haulage employment support private industry, First Nations businesses, farm foresters and state and territory forestry bodies to expand the Australian plantation forest estate contribute to meeting Australia’s carbon emission reduction targets, including under the United Nations Framework Convention on Climate Change, and the Kyoto Protocol to the Climate Change Convention. At the time of submitting your application, you must not have planted the trees as part of your project activities. You also can not include any activities that have or will be undertaken prior to the earliest activity start date for the relevant batch you are applying to as part of your grant funded or co-contribution activities. The earliest activity start dates for each batch are: Batch 1: April 2025 Batch 2: July 2025 Batch 3: September 2025 Batch 4: December 2025 Batch 5: February 2026 Batch 6: April 2026.","Assessment of applications - Within 5 weeks from the closing date. Notification of outcomes - Within 9 weeks from the closing date. Negotiations and award of grant agreements - Within 13 weeks from the closing date. Earliest start date of grant activity: Batch 1: April 2025 Batch 2: July 2025 Batch 3: September 2025 Batch 4: December 2025 Batch 5: February 2026 Batch 6: April 2026 End date of grant activity - As stated in your grant agreement, if successful.",,"Department of Agriculture, Fisheries and Forestry",2024-3513,To apply you must: complete the online application form on GrantConnect provide all the information requested meet all eligibility criteria include all necessary attachments submit your application to the Community Grants Hub by: 4:00 pm AEDT on or before 13 November 2024 if applying for funding in Batch 1 4:00 pm AEDT on or before 11 February 2025 if applying for funding in Batch 2 4:00 pm AEST on or before 8 May 2025 if applying for funding in Batch 3 4:00 pm AEST on or before 17 July 2025 if applying for funding in Batch 4 4:00 pm AEST on or before 24 September 2025 if applying for funding in Batch 5 4:00 pm AEDT on or before 5 November 2025 if applying for funding in Batch 6.,
GO7744,,231013 - Medical Research,,,5-Nov-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,2-Jul-25,Minimum Data closes at 5:00pm (ACT Local Time) on 8 October 2025. Questions should be submitted no later than 1:00pm (ACT Local Time) on 29 October 2025,"From $0.00 to $2,500,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Applications will only be accepted from approved MRFF Eligible Organisations. A list of approved MRFF Eligible Organisations is available from the MRFF Eligible Organisations List on the NHMRC website. Applications must satisfy all the requirements set out in the MRFF – PPHRI – 2025 TTRA Cardiovascular Disease and Diabetes Models of Care Grant Opportunity Guidelines.,"The Medical Research Future Fund (MRFF) Preventive and Public Health Research Initiative 2025 Targeted Translation Research Accelerator- Cardiovascular Disease and Diabetes Models of Care Grant Opportunity intends to provide grants of financial assistance to support medical research and medical innovation projects targeting: Stream 1 People with cardiovascular disease or diabetes (types 1 or 2) Stream 2 People with both cardiovascular disease and diabetes (type 1 or 2) Four topics of funding in each Stream are available: Topic A: The organisation undertaking the majority of the research is based in any area according to the 2019 Modified Monash Model locator (MM 1–7) Topic B: The organisation undertaking the majority of the research must be located in, and the Chief Investigator (CI) A and 50% or more of all  CIs and all research participants must be primarily resident in, a regional, rural or remote area according to the 2019 Modified Monash Model locator (MM 2–7) Topic C: The proposed research focuses on the health of First Nations peoples and demonstrates leadership by First Nations researchers and communities Topic D: The proposed research focuses on the health of people from Culturally and Linguistically Diverse (CALD) backgrounds and demonstrates co-leadership by individuals from CALD backgrounds in the design and implementation of the research. The intended outcome of the research is to improve the health and wellbeing of Australians by developing innovative, technology-enabled, patient-centred models of care that enhance healthcare delivery and promote equitable health outcomes. This grant opportunity is being administered by NHMRC on behalf of the Australian Government Department of Health, Disability and Ageing. Further information on the MRFF is available from the Department of Health, Disability and Ageing's website. A list of Eligible Organisations can be found on the NHMRC List of MRFF Eligible Organisations webpage",Within 5 years of execution of the grant schedule,"Department of Health, Disability and Ageing",National Health and Medical Research Council (NHMRC),,Applicants are advised to read the Grant Guidelines thoroughly and liaise with the MRFF Eligible Organisation that will submit the application to identify any specific requirements that the Organisation might have. Applications must be submitted electronically using NHMRC’s online granting system ( Sapphire ).,"$20,000,000.00"
GO7743,,231013 - Medical Research,,,5-Nov-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,2-Jul-25,Minimum Data closes at 5:00pm (ACT Local Time) on 08 October 2025. Questions should be submitted no later than 1:00pm (ACT Local Time) on 29 October 2025.,"From $0.00 to $2,500,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Applications will only be accepted from approved MRFF Eligible Organisations. A list of approved MRFF Eligible Organisations is available via the MRFF Eligible Organisations webpage on NHMRC’s website. Applications must satisfy all the requirements set out in the Medical Research Future Fund – PPHRI – 2025 Targeted Translation Research Accelerator – Cardiovascular Disease and Diabetes Risk Prediction and Data Solutions Grant Opportunity Guidelines.,"The objective of this grant opportunity is to provide grants of financial assistance to support medical research and medical innovation projects that: Stream 1 : conduct small-scale projects that identify predictive markers (including, but not restricted to, biomarkers) of disease or complications in: Topic A : any type of diabetes, including atypical or mixed phenotypes Topic B : cardiovascular disease in patients with type 1 diabetes Topic C : cardiovascular disease in patients with type 2 diabetes. Stream 2 : conduct multidisciplinary projects that use novel methods to harness multiple existing data infrastructure types in developing and implementing new approaches for the prevention and/or treatment of cardiovascular disease, diabetes (types 1 and/or 2) and/or complications of these diseases Two topics of funding are available, based on the disease foci: Topic A : Focused on, but not limited to, cardiovascular disease Topic B : Focused on, but not limited to, diabetes (type 1 or 2). The intended outcomes of the research funded by this grant opportunity is to improve the health and wellbeing of Australians by: Stream 1 : identifying predictive markers to improve risk stratification. Stream 2 : generating new approaches to improve health care and health outcomes for people living with cardiovascular disease, diabetes and their complications. Applicants to this grant opportunity must propose to conduct research that delivers against the above objectives and those of the Preventive and Public Health Research Initiative. This grant opportunity is being administered by NHMRC on behalf of the Australian Government Department of Health, Disability and Ageing. Further information on the Medical Research Future Fund is available from the Department of Health, Disability and Ageing's website . A list of approved MRFF Eligible Organisations is available via the MRFF Eligible Organisations webpage on NHMRC’s website.",For Incubator grants (Stream 1): within 2 years of execution of the grant schedule For Targeted Call for Research grants (Stream 2): within 5 years of execution of the grant schedule,"Department of Health, Disability and Ageing",National Health and Medical Research Council (NHMRC),,Applicants are advised to read the Grant Guidelines thoroughly and liaise with the MRFF Eligible Organisation that will submit the application to identify any specific requirements that the Organisation might have. Applications must be submitted electronically using NHMRC’s online granting system ( Sapphire ).,"$17,000,000.00"
GO7857,,361003 - Veterans,,,20-Nov-2025 9:00 pm (ACT Local Time) Show close time for other time zones,Demand Driven,29-Aug-25,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible, you must be one of the following entity types: Company Cooperative Corporate Commonwealth Entity Corporate State or Territory Entity Incorporated Association Indigenous Corporation Local Government Non-corporate Commonwealth Statutory Authority Non-corporate State or Territory Entity Non-corporate State or Territory Statutory Authority Person Sole Trader Statutory Entity. If you are applying as a Trustee on behalf of a Trust, the Trustee must be one of the eligible entity types as listed above. Further information on entity types is available on the Community Grants Hub webpage. Other eligibility requirements are outlined in section 4.1 of the Grant Opportunity Guidelines.","The Australian Government is inviting applications via a demand driven process for grant funding under the Marking (First World War) Private Graves Grants (MPG) Program in 2025–2026. An estimated 331,800 Australian personnel were deployed during the First World War. Approximately 60,000 were killed or are listed as missing in action, leaving some 271,800 service men and women who returned to Australia. When they passed away, some were buried without a funeral or headstone. More than 30,000 of these veterans have since had their deaths accepted as related to their war service and have been officially commemorated as post-war dead. The objective of the MPG Program is to contribute to community recognition of the service and sacrifice of service personnel in the First World War who are not eligible for official commemoration by Government. It does this by providing funding to contribute to the cost of establishing a grave marker on currently unmarked private graves. The intended outcome of the MPG Program is to contribute to the work being undertaken by the community to mark private graves of veterans of the First World War so as to enable community recognition of service and to preserve and add to the knowledge of, or provide information about, Australia’s wartime heritage.",Review of applications - Within 5 weeks from the closing date Approval of outcomes of selection process - Within 9 weeks from the closing date Notification to applicants - Within 11 weeks from the closing date Negotiations and award of Letter of Agreements - Within 14 weeks from the closing date Earliest start date of grant activity - March 2026 End date of grant activity - September 2027,,Department of Veterans' Affairs,2025-5020,"To apply, you must: complete the online application form on GrantConnect provide all the information requested address all eligibility criteria include all necessary attachments submit your application/s to the Community Grants Hub by 9:00 pm AEDT on 20 November 2025.",
GO7440,,231013 - Medical Research,,,26-Nov-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,8-Jan-25,Minimum data closes at 17:00 ACT local time on the following dates: PRC1 – 19 March 2025 PRC2 – 23 July 2025 PRC3 – 12 November 2025,"From $0.00 to $1,500,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Applications will only be accepted from NHMRC approved Administering Institutions. A list of NHMRC approved Administering Institutions is available at: https://www.nhmrc.gov.au/funding/manage-your-funding/nhmrc-funding/administering-institutions Applications must satisfy all the requirements set out in the Partnership Projects 2025 Guidelines.,"Partnership Projects will support collaborations, within the Australian context, that translate research evidence into health policy and health practice, to improve health services and processes. The objectives of the Partnership Project scheme are to: meet the need for more effective integration of research evidence into health policy and service delivery create partnerships among policy makers, managers, service providers and researchers provide support to answer often complex and difficult questions that policy makers, managers and service providers face when making decisions and implementing policies that affect Australians health and health care be highly responsive to the priorities of government, the community and health professionals enable applicants to apply for funding at any time during the year to allow researchers and Partner Organisations to develop timely collaborations.",,,National Health and Medical Research Council (NHMRC),1212,Applications must be submitted electronically using NHMRC’s granting system unless otherwise advised by NHMRC.,"$31,600,000.00"
GO6203,,"211011 - Zoos, Wildlife Sanctuaries and Conservation of Endangered Species",,View Addenda,1-Dec-2025 5:00 pm (ACT Local Time) Show close time for other time zones,Targeted or Restricted Competitive,27-Jul-23,,"From $5,000.00 to $600,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","You can apply if you: are invited to apply have an Australian business number (ABN) You can’t apply if you: are not invited to apply are an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme are an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012) are income tax exempt You can partner with one or more other organisations that also meet the eligibility criteria. But you must decide who the lead organisation is. The lead organisation must fill out the application form. If we give your group the grant, the lead organisation: signs the grant agreement is responsible for making sure your group follows the rules in the grant agreement.","Saving Native Species – Emergency Actions for Threatened Species provides organisations with up to $600,000 to help deliver the prevention of extinctions of plants and animals. The Saving Native Species Program (the program) will run over four years from 2022-23 to 2025-26. The program delivers the government’s election commitment to boost outcomes for threatened native plants and animals. The program will support the delivery of the Threatened Species Action Plan (2022-2032) (the Action Plan) towards zero extinctions. The Action Plan maps a pathway to recovery for Australia’s threatened species, spanning terrestrial, marine and freshwater environments. It presents a vision to drive practical on-ground efforts and identifies critical action for the recovery of threatened species and ecological communities. This Action Plan has four 10-year objectives that will be met through consecutive five-year targets and actions. The 22 targets under this first five-year plan will help recover threatened species and ecological communities across Australia.",,,"Department of Climate Change, Energy, the Environment and Water",,Eligible applicants will be contacted.,"$4,000,000.00"
